AM, ACTIONS
ARE, ACTIONS
ASK, ACTIONS
ASKED, ACTIONS
ATE, ACTIONS
BE, ACTIONS
BEEN, ACTIONS
BOUGHT, ACTIONS
BRING, ACTIONS
BROKE, ACTIONS
BUY, ACTIONS
CALL, ACTIONS
CALLED, ACTIONS
CAME, ACTIONS
CAN, ACTIONS
CARE, ACTIONS
CATCH, ACTIONS
CLEAN, ACTIONS
CLOSE, ACTIONS
COME, ACTIONS
COMING, ACTIONS
COOK, ACTIONS
COULD, ACTIONS
CRACK, ACTIONS
CUT, ACTIONS
DID, ACTIONS
DIE, ACTIONS
DIG, ACTIONS
DO, ACTIONS
DOING, ACTIONS
DONE, ACTIONS
DOWN, ACTIONS
DRAW, ACTIONS
DRINK, ACTIONS
DRIVE, ACTIONS
EAT, ACTIONS
EATING, ACTIONS
FALL, ACTIONS
FELL, ACTIONS
FIND, ACTIONS
FINISH, ACTIONS
FINISHED, ACTIONS
FIRE, ACTIONS
FIXED, ACTIONS
FLY, ACTIONS
FORGET, ACTIONS
FOUND, ACTIONS
GAVE, ACTIONS
GET, ACTIONS
GETTING, ACTIONS
GIVE, ACTIONS
GO, ACTIONS
GOING, ACTIONS
GONE, ACTIONS
GOT, ACTIONS
GUESS, ACTIONS
HAD, ACTIONS
HAPPEN, ACTIONS
HAVE, ACTIONS
HAVING, ACTIONS
HEAR, ACTIONS
HEARD, ACTIONS
HELP, ACTIONS
HIDE, ACTIONS
HIT, ACTIONS
HOLD, ACTIONS
HUG, ACTIONS
IS, ACTIONS
JUMP, ACTIONS
JUMPED, ACTIONS
JUMPING, ACTIONS
KEEP, ACTIONS
KICK, ACTIONS
KNOW, ACTIONS
LEAVE, ACTIONS
LET, ACTIONS
LIFT, ACTIONS
LIKE, ACTIONS
LISTEN, ACTIONS
LOOK, ACTIONS
LOOKING, ACTIONS
LOSE, ACTIONS
LOVE, ACTIONS
MADE, ACTIONS
MAKE, ACTIONS
MAKING, ACTIONS
MESS, ACTIONS
MISS, ACTIONS
MOVE, ACTIONS
NEED, ACTIONS
OFF, ACTIONS
ON, ACTIONS
OPEN, ACTIONS
OPENED, ACTIONS
PAINT, ACTIONS
PICK, ACTIONS
PLAY, ACTIONS
PLAYED, ACTIONS
POINT, ACTIONS
PRESS, ACTIONS
PUNCH, ACTIONS
PUSH, ACTIONS
PUT, ACTIONS
RAN, ACTIONS
READ, ACTIONS
RECORD, ACTIONS
RECORDING, ACTIONS
REMEMBER, ACTIONS
RIDE, ACTIONS
RUN, ACTIONS
SAID, ACTIONS
SAW, ACTIONS
SAY, ACTIONS
SEE, ACTIONS
SHOOT, ACTIONS
SHOW, ACTIONS
SHUT, ACTIONS
SING, ACTIONS
SIT, ACTIONS
SLEEP, ACTIONS
SMASH, ACTIONS
STARTED, ACTIONS
STAY, ACTIONS
STEP, ACTIONS
STOP, ACTIONS
STORE, ACTIONS
STUCK, ACTIONS
SUCK, ACTIONS
SUPPOSE, ACTIONS
SWING, ACTIONS
TAKE, ACTIONS
TALK, ACTIONS
TASTE, ACTIONS
TELL, ACTIONS
TELLING, ACTIONS
THINK, ACTIONS
THOUGHT, ACTIONS
THREW, ACTIONS
THROW, ACTIONS
TICKLE, ACTIONS
TOLD, ACTIONS
TOOK, ACTIONS
TOUCH, ACTIONS
TRY, ACTIONS
TRYING, ACTIONS
TURNED, ACTIONS
UP, ACTIONS
USE, ACTIONS
USED, ACTIONS
WAIT, ACTIONS
WALK, ACTIONS
WALKED, ACTIONS
WANT, ACTIONS
WANTED, ACTIONS
WASH, ACTIONS
WATCH, ACTIONS
WAY, ACTIONS
WENT, ACTIONS
WERE, ACTIONS
WILL, ACTIONS
WIN, ACTIONS
WISH, ACTIONS
WRITE, ACTIONS
A, ALPHABET
I, ALPHABET
M, ALPHABET
U, ALPHABET
ANT, ANIMAL
BEAR, ANIMAL
BIRD, ANIMAL
BUG, ANIMAL
BUNNY, ANIMAL
CAT, ANIMAL
COW, ANIMAL
DOG, ANIMAL
DUCK, ANIMAL
FISH, ANIMAL
FLY, ANIMAL
FROG, ANIMAL
HORSE, ANIMAL
PET, ANIMAL
RABBIT, ANIMAL
SPIDER, ANIMAL
TURTLE, ANIMAL
BACK, BODY_PARTS
BLOOD, BODY_PARTS
EYE, BODY_PARTS
FACE, BODY_PARTS
FINGER, BODY_PARTS
FOOT, BODY_PARTS
HAIR, BODY_PARTS
HAND, BODY_PARTS
HEAD, BODY_PARTS
LEG, BODY_PARTS
COAT, CLOTHING
HAT, CLOTHING
JACKET, CLOTHING
PANT, CLOTHING
SHIRT, CLOTHING
SHOE, CLOTHING
SOCK, CLOTHING
WEAR, CLOTHING
BLACK, COLORS
BLUE, COLORS
BROWN, COLORS
COLOR, COLORS
GREEN, COLORS
ORANGE, COLORS
RED, COLORS
WHITE, COLORS
YELLOW, COLORS
ABOUT, DESCRIPTORS
ACTUALLY, DESCRIPTORS
ALREADY, DESCRIPTORS
ALSO, DESCRIPTORS
ANOTHER, DESCRIPTORS
AROUND, DESCRIPTORS
AWAY, DESCRIPTORS
BAD, DESCRIPTORS
BEAUTIFUL, DESCRIPTORS
BEST, DESCRIPTORS
BETTER, DESCRIPTORS
BIG, DESCRIPTORS
BIGGER, DESCRIPTORS
BOTH, DESCRIPTORS
CANDY, DESCRIPTORS
CLEAN, DESCRIPTORS
CLOSE, DESCRIPTORS
COLD, DESCRIPTORS
COOL, DESCRIPTORS
DIFFERENT, DESCRIPTORS
DONE, DESCRIPTORS
EASY, DESCRIPTORS
EVEN, DESCRIPTORS
EVER, DESCRIPTORS
FAST, DESCRIPTORS
FAVORITE, DESCRIPTORS
FINE, DESCRIPTORS
FINISHED, DESCRIPTORS
FIXED, DESCRIPTORS
FLAT, DESCRIPTORS
FUNNY, DESCRIPTORS
GOOD, DESCRIPTORS
GREAT, DESCRIPTORS
HAPPY, DESCRIPTORS
HARD, DESCRIPTORS
HIGH, DESCRIPTORS
HIGHER, DESCRIPTORS
HOT, DESCRIPTORS
HUNGRY, DESCRIPTORS
HURT, DESCRIPTORS
JUST, DESCRIPTORS
KIND, DESCRIPTORS
LEFT, DESCRIPTORS
LIGHT, DESCRIPTORS
LITTLE, DESCRIPTORS
LONG, DESCRIPTORS
LOST, DESCRIPTORS
MAD, DESCRIPTORS
MAYBE, DESCRIPTORS
MESS, DESCRIPTORS
MESSY, DESCRIPTORS
MIDDLE, DESCRIPTORS
MORE, DESCRIPTORS
MUCH, DESCRIPTORS
NAUGHTY, DESCRIPTORS
NEVER, DESCRIPTORS
NEW, DESCRIPTORS
NICE, DESCRIPTORS
NO, DESCRIPTORS
NOT, DESCRIPTORS
OFF, DESCRIPTORS
OLD, DESCRIPTORS
ON, DESCRIPTORS
ONLY, DESCRIPTORS
OTHER, DESCRIPTORS
OUT, DESCRIPTORS
OVER, DESCRIPTORS
PLEASE, DESCRIPTORS
PRETTY, DESCRIPTORS
PROBABLY, DESCRIPTORS
QUICK, DESCRIPTORS
READY, DESCRIPTORS
REAL, DESCRIPTORS
REALLY, DESCRIPTORS
SAD, DESCRIPTORS
SAME, DESCRIPTORS
SHAPE, DESCRIPTORS
SICK, DESCRIPTORS
SMALL, DESCRIPTORS
SO, DESCRIPTORS
SOME, DESCRIPTORS
SORRY, DESCRIPTORS
SQUARE, DESCRIPTORS
SURE, DESCRIPTORS
TASTY, DESCRIPTORS
THIRSTY, DESCRIPTORS
THROUGH, DESCRIPTORS
TIRED, DESCRIPTORS
TOGETHER, DESCRIPTORS
TOO, DESCRIPTORS
UNDER, DESCRIPTORS
USED, DESCRIPTORS
VERY, DESCRIPTORS
WELL, DESCRIPTORS
WHOLE, DESCRIPTORS
WRONG, DESCRIPTORS
YET, DESCRIPTORS
YUMMY, DESCRIPTORS
BATH, EVENTS
BEAT, EVENTS
BET, EVENTS
BIRTHDAY, EVENTS
BREAK, EVENTS
BREAKFAST, EVENTS
CALL, EVENTS
CHRISTMAS, EVENTS
CRY, EVENTS
DIE, EVENTS
DINNER, EVENTS
DRAW, EVENTS
DRINK, EVENTS
EASTER, EVENTS
FIND, EVENTS
GAME, EVENTS
GOAL, EVENTS
HOMEWORK, EVENTS
LUNCH, EVENTS
PARTY, EVENTS
PLAY, EVENTS
PLAYING, EVENTS
RIDE, EVENTS
RUN, EVENTS
SHOW, EVENTS
SONG, EVENTS
STORY, EVENTS
TALK, EVENTS
TELLING, EVENTS
TRIP, EVENTS
WALK, EVENTS
WATCH, EVENTS
WORK, EVENTS
AH, EXPRESSIONS
ALRIGHT, EXPRESSIONS
AS_WELL, EXPRESSIONS
BOO, EXPRESSIONS
BUM, EXPRESSIONS
BYE, EXPRESSIONS
COOL, EXPRESSIONS
DAMN, EXPRESSIONS
EXCUSE, EXPRESSIONS
FINE, EXPRESSIONS
HA, EXPRESSIONS
HAH, EXPRESSIONS
HELLO, EXPRESSIONS
HELP, EXPRESSIONS
HEY, EXPRESSIONS
HI, EXPRESSIONS
HUH, EXPRESSIONS
HUM, EXPRESSIONS
LAUGH, EXPRESSIONS
MAYBE, EXPRESSIONS
NAH, EXPRESSIONS
NO, EXPRESSIONS
OH, EXPRESSIONS
OKAY, EXPRESSIONS
OUCH, EXPRESSIONS
PLEASE, EXPRESSIONS
STOP, EXPRESSIONS
THANK, EXPRESSIONS
UM, EXPRESSIONS
WANNA, EXPRESSIONS
WELL, EXPRESSIONS
WHATEVER, EXPRESSIONS
WHOA, EXPRESSIONS
WHOOP, EXPRESSIONS
WOW, EXPRESSIONS
YA, EXPRESSIONS
YEAH, EXPRESSIONS
YEP, EXPRESSIONS
YES, EXPRESSIONS
YUM, EXPRESSIONS
YUMMY, EXPRESSIONS
CARE, FEELINGS
CRY, FEELINGS
FUN, FEELINGS
HAPPY, FEELINGS
HATE, FEELINGS
HURT, FEELINGS
LAUGH, FEELINGS
LOVE, FEELINGS
MISS, FEELINGS
PEACE, FEELINGS
SAD, FEELINGS
SORRY, FEELINGS
TASTE, FEELINGS
TICKLE, FEELINGS
TIRED, FEELINGS
WANT, FEELINGS
WISH, FEELINGS
APPLE, FOOD
BANANA, FOOD
BEAN, FOOD
BIRD, FOOD
BITE, FOOD
BREAKFAST, FOOD
BUTTER, FOOD
CAKE, FOOD
CANDY, FOOD
CHEESE, FOOD
CHIP, FOOD
COOKIE, FOOD
CORN, FOOD
CRACKER, FOOD
DINNER, FOOD
DOG, FOOD
DRINK, FOOD
DUCK, FOOD
EGG, FOOD
FISH, FOOD
FOOD, FOOD
GREEN, FOOD
GUM, FOOD
JUICE, FOOD
LEG, FOOD
LUNCH, FOOD
MEAT, FOOD
MILK, FOOD
ORANGE, FOOD
PEANUT, FOOD
POTATO, FOOD
PUNCH, FOOD
ROLL, FOOD
SAUCE, FOOD
WATER, FOOD
BED, FURNITURE
CHAIR, FURNITURE
SEAT, FURNITURE
TABLE, FURNITURE
BALL, GAMES_AND_TOYS
DOLL, GAMES_AND_TOYS
GAME, GAMES_AND_TOYS
GOAL, GAMES_AND_TOYS
HOUSE, GAMES_AND_TOYS
PUPPET, GAMES_AND_TOYS
SPIDERMAN, GAMES_AND_TOYS
SUSIE, GAMES_AND_TOYS
SWING, GAMES_AND_TOYS
TOY, GAMES_AND_TOYS
TRAIN, GAMES_AND_TOYS
WAND, GAMES_AND_TOYS
BITE, HEALTH
COLD, HEALTH
CUT, HEALTH
HOT, HEALTH
HUNGRY, HEALTH
HURT, HEALTH
POO, HEALTH
SICK, HEALTH
SLEEP, HEALTH
THIRSTY, HEALTH
TIRED, HEALTH
VOICE, HEALTH
A, LITTLE_WORDS
ABOUT, LITTLE_WORDS
AN, LITTLE_WORDS
AND, LITTLE_WORDS
AROUND, LITTLE_WORDS
AT, LITTLE_WORDS
BECAUSE, LITTLE_WORDS
BOTH, LITTLE_WORDS
BUT, LITTLE_WORDS
BY, LITTLE_WORDS
DOWN, LITTLE_WORDS
ELSE, LITTLE_WORDS
FOR, LITTLE_WORDS
FROM, LITTLE_WORDS
IF, LITTLE_WORDS
IN, LITTLE_WORDS
INSIDE, LITTLE_WORDS
INTO, LITTLE_WORDS
LEFT, LITTLE_WORDS
LIKE, LITTLE_WORDS
NEVER, LITTLE_WORDS
NOT, LITTLE_WORDS
OF, LITTLE_WORDS
ON, LITTLE_WORDS
OR, LITTLE_WORDS
OUT, LITTLE_WORDS
OUTSIDE, LITTLE_WORDS
OVER, LITTLE_WORDS
PROBABLY, LITTLE_WORDS
REALLY, LITTLE_WORDS
RIGHT, LITTLE_WORDS
SHALL, LITTLE_WORDS
SIDE, LITTLE_WORDS
SO, LITTLE_WORDS
STILL, LITTLE_WORDS
THAN, LITTLE_WORDS
THAT, LITTLE_WORDS
THE, LITTLE_WORDS
THEM, LITTLE_WORDS
THERE, LITTLE_WORDS
THESE, LITTLE_WORDS
THEY, LITTLE_WORDS
THIS, LITTLE_WORDS
THOSE, LITTLE_WORDS
THROUGH, LITTLE_WORDS
TO, LITTLE_WORDS
TOP, LITTLE_WORDS
UNDER, LITTLE_WORDS
UNTIL, LITTLE_WORDS
UP, LITTLE_WORDS
WITH, LITTLE_WORDS
YES, LITTLE_WORDS
YET, LITTLE_WORDS
COLOR, MATERIALS
DRAW, MATERIALS
GLUE, MATERIALS
GUM, MATERIALS
LEAF, MATERIALS
PAPER, MATERIALS
SAND, MATERIALS
WATER, MATERIALS
BEING, MISCELLANEOUS
GOD, MISCELLANEOUS
HIT, MISCELLANEOUS
JINGLE, MISCELLANEOUS
KIND, MISCELLANEOUS
KNOW, MISCELLANEOUS
LINE, MISCELLANEOUS
MESS, MISCELLANEOUS
MUSIC, MISCELLANEOUS
NAME, MISCELLANEOUS
NAMED, MISCELLANEOUS
PLAY, MISCELLANEOUS
POCKET, MISCELLANEOUS
POINT, MISCELLANEOUS
REAL, MISCELLANEOUS
RECORD, MISCELLANEOUS
RECORDING, MISCELLANEOUS
ROCK, MISCELLANEOUS
SIGN, MISCELLANEOUS
SONG, MISCELLANEOUS
SQUARE, MISCELLANEOUS
STUFF, MISCELLANEOUS
THING, MISCELLANEOUS
THOUGHT, MISCELLANEOUS
TRIANGLE, MISCELLANEOUS
TURN, MISCELLANEOUS
VOICE, MISCELLANEOUS
WORD, MISCELLANEOUS
MAY, MODAL_VERBS
MUST, MODAL_VERBS
SHOULD, MODAL_VERBS
WILL, MODAL_VERBS
WOULD, MODAL_VERBS
FIRE, NATURE
HILL, NATURE
LEAF, NATURE
LIGHT, NATURE
ROCK, NATURE
SUN, NATURE
TREE, NATURE
WATER, NATURE
EIGHT, NUMBERS
ELEVEN, NUMBERS
FIFTEEN, NUMBERS
FIVE, NUMBERS
FOUR, NUMBERS
HUNDRED, NUMBERS
NINE, NUMBERS
NUMBER, NUMBERS
ONE, NUMBERS
SEVEN, NUMBERS
SIX, NUMBERS
SIXTY, NUMBERS
TEN, NUMBERS
THIRTEEN, NUMBERS
THIRTY, NUMBERS
THREE, NUMBERS
TWELVE, NUMBERS
TWENTY, NUMBERS
TWO, NUMBERS
BACK, OBJECTS
BALL, OBJECTS
BED, OBJECTS
BELL, OBJECTS
BIN, OBJECTS
BOAT, OBJECTS
BOOK, OBJECTS
BOTTOM, OBJECTS
BOX, OBJECTS
BUS, OBJECTS
CAN, OBJECTS
CAR, OBJECTS
CHAIR, OBJECTS
CLOCK, OBJECTS
CUP, OBJECTS
DOLL, OBJECTS
DOOR, OBJECTS
DRAW, OBJECTS
FENCE, OBJECTS
GOAL, OBJECTS
LIFT, OBJECTS
MICROPHONE, OBJECTS
MONEY, OBJECTS
PAINT, OBJECTS
PAPER, OBJECTS
RECORDER, OBJECTS
SAW, OBJECTS
SCISSORS, OBJECTS
SEAT, OBJECTS
STEP, OBJECTS
STICK, OBJECTS
TAPE, OBJECTS
TOY, OBJECTS
TRIANGLE, OBJECTS
TV, OBJECTS
WAND, OBJECTS
WASH, OBJECTS
WATCH, OBJECTS
ANNA, PEOPLE
ANOTHER, PEOPLE
AUNT, PEOPLE
BABY, PEOPLE
BOBBY, PEOPLE
BOY, PEOPLE
BROTHER, PEOPLE
COOK, PEOPLE
DAD, PEOPLE
DOCTOR, PEOPLE
FAMILY, PEOPLE
FATHER, PEOPLE
FRIEND, PEOPLE
GIRL, PEOPLE
GOD, PEOPLE
GRANDMA, PEOPLE
GRANDPA, PEOPLE
GUY, PEOPLE
JAMIE, PEOPLE
KATIE, PEOPLE
KID, PEOPLE
MAMA, PEOPLE
MAN, PEOPLE
MISS, PEOPLE
MOM, PEOPLE
MOMMY, PEOPLE
MUM, PEOPLE
MUMMY, PEOPLE
PAPA, PEOPLE
PEOPLE, PEOPLE
POLICEMAN, PEOPLE
SISTER, PEOPLE
SOMEBODY, PEOPLE
SOMEONE, PEOPLE
TEACHER, PEOPLE
BACK, PLACES
BATH, PLACES
BATHROOM, PLACES
BED, PLACES
BOTTOM, PLACES
END, PLACES
FACE, PLACES
FARM, PLACES
FIELD, PLACES
FINISH, PLACES
FLAT, PLACES
GARAGE, PLACES
GERMANY, PLACES
HERE, PLACES
HIGH, PLACES
HOLE, PLACES
HOME, PLACES
HOUSE, PLACES
INSIDE, PLACES
KITCHEN, PLACES
LEFT, PLACES
LIFT, PLACES
MIDDLE, PLACES
OUTSIDE, PLACES
POOL, PLACES
RIGHT, PLACES
ROOM, PLACES
SCHOOL, PLACES
SIDE, PLACES
SOMEWHERE, PLACES
SQUARE, PLACES
STAND, PLACES
STOP, PLACES
STORE, PLACES
THERE, PLACES
TOP, PLACES
WAY, PLACES
WELL, PLACES
WORK, PLACES
ANYTHING, PRONOUNS
EVERYBODY, PRONOUNS
EVERYONE, PRONOUNS
EVERYTHING, PRONOUNS
HE, PRONOUNS
HER, PRONOUNS
HIM, PRONOUNS
HIS, PRONOUNS
I, PRONOUNS
IT, PRONOUNS
ME, PRONOUNS
MINE, PRONOUNS
MR, PRONOUNS
MY, PRONOUNS
MYSELF, PRONOUNS
OTHER, PRONOUNS
OUR, PRONOUNS
OURS, PRONOUNS
SHE, PRONOUNS
SOMETHING, PRONOUNS
THEIR, PRONOUNS
WE, PRONOUNS
YOU, PRONOUNS
YOUR, PRONOUNS
YOURS, PRONOUNS
ALL, QUANTITY
ANY, QUANTITY
BIT, QUANTITY
BITE, QUANTITY
BOX, QUANTITY
CAN, QUANTITY
CUP, QUANTITY
DAY, QUANTITY
HALF, QUANTITY
HOUR, QUANTITY
JUST, QUANTITY
LITTLE, QUANTITY
LOT, QUANTITY
MANY, QUANTITY
MINUTE, QUANTITY
MORE, QUANTITY
MUCH, QUANTITY
NOTHING, QUANTITY
NUMBER, QUANTITY
ONLY, QUANTITY
PIECE, QUANTITY
SECOND, QUANTITY
SOME, QUANTITY
STEP, QUANTITY
WHOLE, QUANTITY
YEAR, QUANTITY
HOW, QUESTION_WORDS
WHAT, QUESTION_WORDS
WHEN, QUESTION_WORDS
WHERE, QUESTION_WORDS
WHICH, QUESTION_WORDS
WHO, QUESTION_WORDS
WHY, QUESTION_WORDS
AFTER, TIME_AND_SEQUENCE_WORDS
AGAIN, TIME_AND_SEQUENCE_WORDS
ALWAYS, TIME_AND_SEQUENCE_WORDS
BEFORE, TIME_AND_SEQUENCE_WORDS
BIRTHDAY, TIME_AND_SEQUENCE_WORDS
CAUSE, TIME_AND_SEQUENCE_WORDS
DAY, TIME_AND_SEQUENCE_WORDS
END, TIME_AND_SEQUENCE_WORDS
EVER, TIME_AND_SEQUENCE_WORDS
FALL, TIME_AND_SEQUENCE_WORDS
FIRST, TIME_AND_SEQUENCE_WORDS
HOUR, TIME_AND_SEQUENCE_WORDS
LAST, TIME_AND_SEQUENCE_WORDS
LATER, TIME_AND_SEQUENCE_WORDS
MAY, TIME_AND_SEQUENCE_WORDS
MINUTE, TIME_AND_SEQUENCE_WORDS
MORNING, TIME_AND_SEQUENCE_WORDS
NEVER, TIME_AND_SEQUENCE_WORDS
NEXT, TIME_AND_SEQUENCE_WORDS
NIGHT, TIME_AND_SEQUENCE_WORDS
NOW, TIME_AND_SEQUENCE_WORDS
SECOND, TIME_AND_SEQUENCE_WORDS
SOMETIMES, TIME_AND_SEQUENCE_WORDS
START, TIME_AND_SEQUENCE_WORDS
THEN, TIME_AND_SEQUENCE_WORDS
TIME, TIME_AND_SEQUENCE_WORDS
TODAY, TIME_AND_SEQUENCE_WORDS
TURN, TIME_AND_SEQUENCE_WORDS
UNTIL, TIME_AND_SEQUENCE_WORDS
WHILE, TIME_AND_SEQUENCE_WORDS
YEAR, TIME_AND_SEQUENCE_WORDS
YESTERDAY, TIME_AND_SEQUENCE_WORDS
BOAT, TRANSPORTS
BUS, TRANSPORTS
CAR, TRANSPORTS
TRAIN, TRANSPORTS